Bairro,latitude,longitude,cb6,t1b6,t2b6,p1b6,p2b6,v1b6,v2b6,ur1b6,ur2b6,cb1,t1b1,t2b1,p1b1,p2b1,v1b1,v2b1,ur1b1,ur2b1,cb2,t1b2,t2b2,p1b2,p2b2,v1b2,v2b2,ur1b2,ur2b2,cb3,t1b3,t2b3,p1b3,p2b3,v1b3,v2b3,ur1b3,ur2b3,cb4,t1b4,t2b4,p1b4,p2b4,v1b4,v2b4,ur1b4,ur2b4,cb5,t1b5,t2b5,p1b5,p2b5,v1b5,v2b5,ur1b5,ur2b5,predicao
CIDADE UNIVERSITARIA,-8.05442,-34.95163,6,28.05036823204639,27.14955591590763,10.145727593352882,40.19440966476614,0.4688452171440855,0.3152770613739846,54.11936534592216,67.68618920723536,25,27.834159951333817,26.82275303220345,48.71398590760806,27.460557754207347,0.9992072792956156,0.6145658157931504,69.21582651313373,75.67176219531031,28,27.52346833216583,28.663030879477464,54.53829510560747,108.76430212873136,1.5850651982548851,0.4192297405757768,67.5216568514436,75.19215618110101,3,25.858719567310334,23.27617527385534,177.44287776509864,52.5993196404112,3.526174315554866,1.629041280297678,83.68252946479639,79.33283513335293,3,24.98790448887583,27.08637818517811,45.72528894618488,12.28884318654011,2.415627010200797,2.2489995112879937,83.46283299735929,84.07889622804846,2,25.73764303469777,26.49045662669113,17.128975735377495,17.128975735377495,1.177654414665416,3.383435181831371,82.54835575913967,80.88774665626778,1
COELHOS,-8.06698,-34.88854,111,26.593762341568496,27.275783909760563,0.5622724461454798,22.88046015168092,1.8861228779244927,0.8157416773480568,61.56463003603002,73.19323183760409,91,28.26861113519089,28.83520636987656,25.612719940449715,26.027144775703817,1.3488144021118138,1.18484436930009,73.01565164560228,69.6305818723066,61,28.416612407298977,27.02772206938229,41.6894772676428,99.2786836821982,1.3481375743978767,0.1183304159625968,78.96189011740869,78.50068496073376,21,24.070112243292908,25.817847086255775,144.6058048285765,71.13467187467754,0.511045206862927,1.8401636292525745,80.9716319816422,72.26193030501757,9,22.86619187333284,22.96443518567399,30.274864873416448,15.152752672719426,1.3754477162666696,2.314362132392037,84.50596574956303,77.02855640323274,3,25.4361289394678,27.083738409693197,9.270850283462574,9.270850283462574,4.771131924402994,0.1592837114790921,82.97407603262445,74.02214645699173,2
COHAB,-8.12438,-34.95336,420,25.89476492453516,26.053184119462458,2.4692550775817823,31.76246429011977,2.316878568616053,1.1441471608268947,58.15772237276677,66.27790883612477,582,28.875328750605707,27.05227218193808,1.7456023410669346,18.36168742224853,0.5856099228976991,0.2959603493664184,71.99359731517265,74.19338367675421,480,26.106385010126157,27.620423198681287,48.09133509567337,105.84548023394326,1.4414443246307576,1.5177590245207844,75.48449710385806,75.39925494568911,275,24.02107179277002,26.130425031891885,355.0384966722208,40.837890483127154,0.1186264447870795,1.14223432723935,79.29785717950253,79.70470805115656,22,23.65923835894121,24.17922518815884,2.7974735728099347,14.617081573332827,1.097811474147549,2.5499083847669435,81.9330877500158,77.33433625256767,22,26.742544282723863,28.04256550962197,13.448348146154643,13.448348146154643,2.6496839338808984,1.1007132973702358,82.92621928240357,77.39124037490296,28
COQUEIRAL,-8.08786,-34.96823,35,28.10816217105792,28.69460656513064,1.96691044592683,60.10177016277848,1.3468555671835063,1.587182868653135,62.22588933786263,68.69349044138768,77,28.65245400131785,25.632281132962845,15.158728449202831,17.085749665909834,3.822574606354995,1.2514419477238636,72.76646476084741,66.6668221050719,63,26.19676587542224,27.09688220260069,92.97141992495987,109.89854616518753,0.4861480121543631,3.3652021050507352,77.29981568460805,77.94732986523334,14,27.07036409531556,24.32637665913016,136.46615667969135,25.72733101466349,1.2025919421982176,0.6363254023855951,80.11565463419353,80.60892391157387,3,24.558619344221405,25.2641496390609,46.46321025950213,38.34061093063058,0.755922951056242,1.5588077607501871,82.45734752281327,83.45583425608322,6,26.141128832963595,25.45351575856791,32.98207891430581,32.98207891430581,4.816552069075723,3.654442111635878,78.05535160584287,68.95593355161667,3
CORDEIRO,-8.05114,-34.92851,146,26.563890495017645,27.30157195798572,0.8412281670423969,6.140179154208752,0.141689124848529,1.68383071686178,60.83852712603438,67.83280917425202,261,27.380346075698807,28.118983476830543,70.0789254271385,0.0935036811573528,1.4248573068707204,5.334929772759721,70.08026949547151,72.39242647334241,267,27.27697029602883,26.12880124709317,33.53416840118773,52.12886149555138,4.270226399971424,3.174861370078175,74.74133945432186,71.72111273635015,157,27.757507144599764,24.706734678930303,246.96013005891197,98.986106323286,1.0919527037053505,0.3505495815709233,79.12857474178134,78.47320278639053,60,25.00617445672441,23.990345599180905,21.50565636891192,1.0422203419708715,1.9798456816394152,4.628748289053916,83.83514936981904,83.05231531710712,17,25.216746441897417,26.807838133362125,28.747739345753423,28.747739345753423,1.5060722455395663,4.036699575498416,76.81554467617464,72.5297075336301,13
CORREGO DO JENIPAPO,-8.00644,-34.93592,35,25.03655207871693,28.07786617352077,0.5142677920410303,5.670461072640233,2.874148146207257,1.1406455252276189,66.47111713033934,68.84185965290298,211,25.09866934641727,25.33916080164588,1.7598758519959148,26.162031416557603,2.6396466572351582,1.8058162550696708,77.16234157189857,71.43494183153334,123,28.0956133804072,26.057440480286896,120.11473504274994,14.81947197753368,0.7368481472296777,2.34489010792349,75.60992182898089,78.22433076262516,13,24.92794124430483,23.122937989036853,92.67937760869312,80.03567581226997,0.1984849707569611,1.8655997221424825,77.03121073137547,84.13059199367794,4,26.03913889899429,25.815985116399112,41.181468803891214,10.22887901808405,1.1934454344758991,1.3078648908113255,87.7226738917923,84.08049269514315,2,27.31623861492417,25.437140176901835,10.173316955138285,10.173316955138285,3.975910128340084,0.6185039346817975,72.49998592183876,72.08592696037033,4
CURADO,-8.06813,-34.96186,8,26.434572039698185,26.99022437139236,9.06333237755464,7.926340180775771,0.8108749037813491,2.223447682802997,71.22617649301473,66.51415081433815,36,29.249277017549037,25.372489673563507,21.2654312247611,14.296044644822128,0.1591361119890262,2.5536760588408534,69.8347898370403,74.84604078983601,42,26.43717351219901,27.60309265602553,61.2491860925585,93.79744010318774,0.5894596055479848,2.009292428498533,75.89847427352396,76.49131924788396,15,26.668861218207308,23.93822113530821,190.13511320916933,61.22012028007592,0.3731186275201039,0.8320227772679996,76.04836835325003,82.55799530175787,2,23.217512577133125,22.30718865372729,38.51302190425507,17.990846706948375,0.5016757996482637,1.232599504107036,85.4854818731423,82.62440089930514,1,25.514949914100583,24.343633418808054,13.110716768563062,13.110716768563062,2.9942451706366287,0.6650426848687787,75.859293112611,79.07816004576614,1
DERBY,-8.05781,-34.89901,3,27.71965463478318,25.955722714693756,3.466393470884962,6.098187049285986,2.512014984832128,2.6338938441042026,61.89169551963946,67.84795112452757,13,28.06599959632608,28.978146885783616,2.722817762277693,1.2767251423170285,2.1197568985427093,0.3544849006790687,69.99568744733394,74.17823292596991,4,28.6442582870102,24.63985591077514,60.005974684429205,133.94205309823593,3.034041970313202,3.948647505056064,78.07223388513573,73.12056299035137,3,27.974802196680244,25.44805363629657,101.64510994582676,73.62748050057797,2.427939436002493,0.2893624259719194,77.6015978689948,78.76840023662496,2,26.193600669615748,25.073236608647683,34.69307020549259,22.68999530952021,0.7613173188979293,3.237732343464466,82.70236438723798,77.9910379345847,1,26.123788546308663,27.38307079202985,3.2199455807099278,3.2199455807099278,2.3025173503739853,0.5458538880002539,74.82142453151287,72.04412765706037,0
DOIS IRMAOS,-8.00438,-34.95283,17,27.303611614795724,26.360994948371022,3.582117801470288,6.990686948064187,2.989721855474769,1.99168689978851,66.34208057168908,63.00623621629779,59,26.14089212903265,27.52915951101213,35.64285144567593,12.645635323405196,1.4023625298776106,1.225915323816409,73.37344885376763,69.93197155564043,41,27.10473767387281,26.8488834753561,3.632290563213843,73.71405032496514,1.7282378314179,1.5531455221076218,72.07022322846039,77.29558839486009,36,25.74097678348705,24.961438555349364,20.63768614597429,50.060720035434095,2.1930473645872484,3.024812814145673,78.94665924539355,80.655620472902,1,25.197439710626508,23.473315879470253,38.89626413596284,10.579450435310791,4.6960748147657405,1.4197175277167282,76.61776219651938,77.144423395733,2,24.411939645489976,27.53513768312596,19.242737709333262,19.242737709333262,0.4381577327058412,1.2631609106999555,77.71057651051782,80.83870949314536,1
DOIS UNIDOS,-7.99319,-34.91076,91,27.7702186891924,25.575122525928933,14.294617681217977,11.760492419431545,1.0017815653315028,2.349134075488492,60.356905830163896,72.64263348112884,236,27.47625616397127,26.55667904422107,54.47268863821078,30.280247559297827,1.6444275980963847,1.1797650814945977,70.35073316588472,78.02939869656986,307,29.21060457553654,24.392781411020515,3.352659989230226,103.39773599936149,1.9725300406889548,3.692462178277312,78.47660142308499,75.66773447984421,80,23.56272146238104,25.323401714710094,133.3255404294619,82.69043377233396,1.3872623038362044,0.2393190327655183,77.12657067425398,78.82116701355979,50,25.43326408037335,22.711457236029947,82.57178819260419,13.623668936665196,0.6438675939349547,3.26375760130817,87.22461059831727,76.14188707539769,17,26.79581626735925,24.37421914691581,8.631771567112398,8.631771567112398,3.3509784358897576,2.819267789381136,74.68981507360125,74.27651682329032,12
