Bairro,latitude,longitude,cb1,t1b1,t2b1,p1b1,p2b1,v1b1,v2b1,ur1b1,ur2b1,cb2,t1b2,t2b2,p1b2,p2b2,v1b2,v2b2,ur1b2,ur2b2,cb3,t1b3,t2b3,p1b3,p2b3,v1b3,v2b3,ur1b3,ur2b3,cb4,t1b4,t2b4,p1b4,p2b4,v1b4,v2b4,ur1b4,ur2b4,cb5,t1b5,t2b5,p1b5,p2b5,v1b5,v2b5,ur1b5,ur2b5,cb6,t1b6,t2b6,p1b6,p2b6,v1b6,v2b6,ur1b6,ur2b6,predicao
Parnamirim,-8.033829,-34.915506,2.0,27.087918003685576,26.582944635882654,68.83305755297314,265.9193379114073,0.0,0.0,83.95048263540625,92.73071024124287,24.0,26.25527703123329,26.37324396227161,84.66048750790517,288.95114793503234,0.0,0.0,96.42656232944812,96.0065977281592,34.0,26.34835417561873,26.372220953769084,270.54540556820524,280.85810937499457,0.0,0.0,96.09839606687213,95.93027538150623,10.0,24.861292527577184,25.915461649703097,316.6539528835466,186.40734068708832,1.928671729693333,1.2781307094948229,92.04193426702447,84.12453832813526,9.0,25.270182981720616,28.473178677177245,59.756020725032855,10.400611161914837,3.3738255899123613,0.6750427552197018,82.80100152685742,75.71541367885007,1.0,26.912427125727703,25.324673209588116,34.02452944768186,34.02452944768186,5.226009319664337,2.2122409517816206,81.00323621368462,71.58570585460278,4.0
Casa Forte,-8.033714,-34.9232,2.0,26.230821178754013,26.3961250926678,68.63394415690586,275.15991709988475,0.0,0.0,89.80685768187388,91.56274278573603,24.0,26.202011288479724,26.36793276383577,129.110459914794,224.45565040834288,0.0,0.0,95.2218756728878,96.16926010030625,34.0,26.37130929451893,26.365954883597382,321.0678057618591,239.0119302614916,0.0,0.0,95.61252846596558,96.4166633783042,10.0,25.25981374575837,24.969922668541237,294.37698505197386,202.3050583374144,0.9982769622165756,1.8684376661064983,89.41039955226304,77.20652548313618,4.0,24.14114110769181,24.010677539229285,56.518436934636775,6.10962086686383,2.175609612255434,0.3588004865467529,76.87164260035361,73.50408274929045,1.0,25.53067613521399,26.67402598339315,35.51250391801747,35.51250391801747,2.2130926894442906,1.626267326643826,66.98543225966607,72.09193480010555,5.0
Poço da Panela,-8.035386,-34.931454,2.0,26.940862478289937,26.38902500142924,75.10244886252713,275.6185039937183,0.0,0.0,87.82619015207035,89.92143870050025,24.0,26.23257449696148,26.357081770490915,116.9748888012386,317.2664851980653,0.0,0.0,96.32879801353658,96.25254929658324,34.0,26.359553492550397,26.36064416806853,299.3380131681651,223.76682739785096,0.0,0.0,95.660551492808,96.123139345134,10.0,23.82401915485164,24.587770064150924,310.3340711211897,186.7800314951529,0.7879297004964463,4.41308265105196,89.71850084830965,79.73784415943283,4.0,26.31636019295457,27.173171897036674,55.57883227907226,11.284506123722291,1.1794254125125194,2.5333654551644824,77.85552496653781,72.3338106139183,1.0,26.012443818779666,26.47179763584716,34.26462678365794,34.26462678365794,4.807047779119904,3.0667175391259267,70.59984750439533,79.32945944471143,5.0
Casa Amarela,-8.026029,-34.925645,0.0,26.503773346717008,26.70626110720702,71.56073029299732,296.77630390302375,0.0,0.0,84.57340110470399,90.4158413764547,5.0,26.19651585996082,26.36600280217581,139.51673272437628,258.77641175881195,0.0,0.0,95.51058248621707,96.30306427501289,8.0,26.366307394438653,26.35602836478664,361.3108205320975,207.84819110061807,0.0,0.0,96.24753791713754,95.88251235995708,3.0,25.124444029253954,24.22893277089408,311.2464817176888,185.7797139240716,2.419532596178036,2.436002274808551,84.81904942956184,87.04608182398134,0.0,25.384416876178005,27.269214651556776,68.9656928356823,7.73567643590094,2.740100739738818,5.546980067885338,76.19786926746416,80.8090122593198,2.0,28.034399877704143,27.514801292062614,46.29318689072301,46.29318689072301,3.1147690210603765,2.398569564555671,64.66678538683692,73.82972741088761,3.0
Alto José Bonifácio,-8.013111,-34.917736,12.0,26.404033642738188,26.951893472120258,69.43364913301903,329.36505231023125,0.0,0.0,89.77254437993025,90.53757265674348,20.0,26.233454139762543,26.35445824984241,109.62743131513056,256.50553264003014,0.0,0.0,95.56194324244852,96.0073417976201,31.0,26.375661903278697,26.366435191722346,290.55948713078334,223.3963985956448,0.0,0.0,95.56345370026568,95.8915380165898,28.0,24.95921643266324,24.33533436618021,327.6292500516553,208.33464321678267,2.768528273748144,2.142762743324964,86.25201757717933,88.03281019377236,15.0,26.3880691137835,25.949127608038086,56.72872200329563,6.004144264441054,1.432103026966084,1.7992047495372518,77.36897185184974,71.21172459098861,6.0,26.62756754261101,27.81391706531147,43.07404543545984,43.07404543545984,3.1246970470959368,1.410058018083516,63.29981509973626,74.10257661668527,19.0
Morro da Conceição,-8.020117,-34.918676,12.0,26.886798021360946,26.15360514067414,74.7478150635281,244.2238807918773,0.0,0.0,87.39130489539001,92.17378847043004,20.0,26.19562633918404,26.382640994648515,135.4826809981343,253.5232220880672,0.0,0.0,95.77627493458876,96.0317078504054,31.0,26.377501671904792,26.35362102874466,265.6140656695034,216.180381056098,0.0,0.0,96.20966855234906,95.67517759753534,28.0,24.323355087132764,26.482610820337477,297.09997102299474,169.4403274292619,2.1454911100119816,0.1789446371814453,85.27590034694985,72.48418031706603,8.0,26.20190602661413,27.901638124321643,64.56953480294352,7.748295349533784,5.016769416940761,0.5416102153556479,78.87791199695607,71.38379300872305,13.0,27.62534586000714,26.72715872954613,32.705475766049446,32.705475766049446,1.3844893914553644,3.815808522544773,75.17097488416906,75.39709420744855,11.0
Alto José do Pinho,-8.02225,-34.911902,12.0,27.257408119427105,26.815104614801875,68.19756964120623,252.66134188680024,0.0,0.0,88.25928810636317,87.62420884017575,20.0,26.21346106521909,26.364195750301416,87.4608312614769,299.0237099030596,0.0,0.0,95.81489543907408,96.13349363843464,31.0,26.34070143402085,26.35982021025316,281.3034092100313,232.5900983497885,0.0,0.0,96.17965134722915,96.28747446960084,28.0,25.253301688629996,24.990741636196027,324.8848269722721,141.71111902081444,0.9110781750156484,2.9467861725690483,84.41606930752475,84.8443455436011,9.0,26.42147252564329,26.086042429214785,59.30225073984998,5.737472396427575,2.5588491535089526,0.3548994637916778,76.69283962988328,69.23257264187403,18.0,26.89160067862777,26.375665696286443,42.86169393304079,42.86169393304079,4.088956081812449,3.046285967984238,71.78859046240422,71.94577410816383,15.0
Vasco da Gama,-8.01159,-34.927568,11.0,26.057364876431294,26.14856677247573,72.63130649195523,265.4783734624276,0.0,0.0,87.91058008525846,92.32660957609976,13.0,26.228308415500308,26.36672688024496,118.7416908641765,355.6543459025172,0.0,0.0,95.37648850843708,96.1024757414816,17.0,26.348810754228,26.35409573703131,249.5228769414732,225.63149691631372,0.0,0.0,95.95082143667868,95.68324459156771,14.0,23.797882692307944,23.59626580271872,325.1717666731401,160.36757573481947,0.700608394027733,0.358535977465992,87.65811526923542,90.04985642412755,14.0,25.863457644437496,25.43161068189475,64.61394700576906,9.95886100863198,0.2325922421260224,2.2767895691083493,81.66344725671568,74.53003157477791,5.0,27.06061150679041,26.633764983597928,40.39298090991024,40.39298090991024,4.4085828783602805,1.4504048367316331,66.57666952866879,72.42783017497278,21.0
Monteiro,-8.026667,-34.933218,10.0,27.09935304319104,26.62624376485509,73.14497452409586,308.59465486566245,0.0,0.0,89.41657751587549,90.16995571232115,13.0,26.192468337900607,26.364835959535476,126.6819944510723,214.3121708675444,0.0,0.0,96.01499328726467,95.99653448663815,21.0,26.347630691804287,26.34965936420227,378.5722088884759,250.15596020436007,0.0,0.0,95.50073018730288,96.20465627696026,24.0,24.989202838301825,26.911515454819465,303.49506178870973,187.9827711383803,2.778039971993297,1.2686055244551435,89.97616045472897,77.50512643996326,6.0,26.416200639986137,25.77075690366841,58.1415201680284,7.663391126108914,2.840713568206977,3.942470500451442,77.55961952684119,78.04083754979116,2.0,26.24456552085739,26.5258410619404,39.380551447231525,39.380551447231525,1.0737393812766205,2.9373240061225703,72.43536139171788,74.53943417325672,3.0
Apipucos,-8.018179,-34.944282,10.0,27.42644227871361,25.90857566040324,72.55623182006588,250.5720394811396,0.0,0.0,87.25842741477719,90.48537120295268,13.0,26.30718484915505,26.358463382513868,103.54921259007992,252.87880741571925,0.0,0.0,95.6034839602196,95.55978403819162,21.0,26.361743800470585,26.36501402069284,302.6752265227146,241.5346624180119,0.0,0.0,96.0801642101158,95.941438786055,24.0,22.967966252457494,22.669935646522543,310.89879211226224,179.5964233035116,1.5613054476933177,0.7731785987650179,88.63572341070596,78.17091993758088,6.0,26.010083995739283,28.37872117543385,73.79309627737854,4.9706318146209165,2.6744835058062373,3.7605599205214606,87.47373177470583,79.88638863490017,2.0,27.53552474402417,27.96358932165336,37.66180927964373,37.66180927964373,3.3636353632743727,5.039397575727093,72.88010068518248,69.62711423946446,3.0
Alto do Mandú,-8.022437,-34.932909,10.0,27.17909131838715,26.602508839754737,67.09742417411594,261.23774504913257,0.0,0.0,85.65687246260549,91.1969025594011,13.0,26.224842143962142,26.390947121926946,125.01379780253023,275.5165049004282,0.0,0.0,95.62012684602736,96.26172303912578,21.0,26.334189251313767,26.347429139621752,280.5427025435418,192.59886206692,0.0,0.0,96.14313551932028,95.87184488868898,24.0,24.706969485435327,23.861555963796803,312.39710700448484,182.09257978595545,0.7624250172620854,2.571698674383449,87.48908983717753,82.30294003616638,2.0,24.899119661004423,25.452298752432423,63.75822589935914,3.2617527252612257,2.760386758327649,0.946477345146044,83.34723229306778,70.22124657496015,4.0,27.39514294807511,28.082025658340093,42.68000856400735,42.68000856400735,3.4964022268738404,1.2901552154852625,73.3989447278853,71.29563372689134,5.0
Sítio dos Pintos,-8.013844,-34.9666,10.0,26.75052339827905,25.951143123159323,83.63460194711456,267.84648184278245,0.0,0.0,89.09159752184688,89.68164971115564,13.0,26.281983301492147,26.353676538970205,134.49240598508797,297.8125204987058,0.0,0.0,95.85943126158736,95.9212141441767,21.0,26.381290442867886,26.359529206771427,326.41530733120663,224.74780479280716,0.0,0.0,95.96589167492655,95.91469895451844,24.0,25.83942523848929,24.722140114159497,304.9410501743099,198.60042886651155,3.574480513847671,4.071671772829131,86.21418029990403,77.57641625158351,2.0,26.21027046650053,26.97529193118626,58.40848135454658,3.639460001048026,2.9715437128246154,0.9314042653060026,77.21816038623932,69.1300396823355,2.0,27.34640264087601,26.614578639194622,32.73341491961362,32.73341491961362,1.0331531273245438,1.5303109818335732,70.9818761158719,77.01978290225624,7.0
Córrego do Jenipapo,-8.002386,-34.944957,10.0,26.341386595663625,26.55382613116803,64.33932344617666,270.96619775715965,0.0,0.0,88.90418026767843,91.22419198746884,13.0,26.16746695701802,26.333860118949254,118.24043740762907,266.4785102046813,0.0,0.0,96.1099172313252,95.97313411699749,21.0,26.37939688623406,26.353190584421515,288.47348553026046,221.95664056561884,0.0,0.0,95.885316614108,95.83328782117486,24.0,24.26102440501789,24.571320732229875,357.11900517625867,193.43653513086295,3.1146041336926844,3.164810531026004,86.86448060863066,83.26284678914315,6.0,25.953294492191063,25.548569604063182,51.67887545455042,6.577632027016906,3.2327505353302928,1.9821735421903264,78.23004511657129,76.78830055619385,5.0,24.334117272769497,27.88003283031213,42.02024341133077,42.02024341133077,1.9865193828216112,2.383679597012982,74.3592473072148,76.50215934189148,5.0
Dois Irmãos,-8.007833,-34.968402,10.0,26.851228839811004,26.50511840387164,77.33608338071497,293.58894616175775,0.0,0.0,90.06182964030523,88.18931127927696,13.0,26.22107447465221,26.36297303796056,126.37242684801126,283.13801535847165,0.0,0.0,96.16845907801728,95.96500640618824,21.0,26.372667161049115,26.368272816243227,336.309903097067,253.8006472852712,0.0,0.0,95.85802191761717,95.940591165943,24.0,24.992988467738943,24.299976431043792,309.5857301355904,208.2423238855169,3.983167057418152,1.1728809215994287,91.4654297561022,81.79691411175673,2.0,25.21251148936877,25.919947858875865,65.9715975140786,4.495806155753715,3.989604105914341,2.255022935029706,84.64885524284664,67.8890236844332,2.0,28.604862995408627,26.39877231310484,49.82403536180772,49.82403536180772,2.8865198796893257,2.6168864988078173,66.20651060635822,73.09191557733568,7.0
Macaxeira,-8.011477,-34.939212,15.0,26.53136667419969,26.0106811027708,76.4140445362363,278.7133675999458,0.0,0.0,87.79466715488307,92.09663384204768,15.0,26.17842891384404,26.367169252220656,114.78508024278648,275.0120058161826,0.0,0.0,96.1426827509824,96.18971920334658,21.0,26.34394320977411,26.364370122711385,286.55332644669033,211.086174873816,0.0,0.0,96.03005772235208,96.27135120521056,30.0,23.365122198319288,26.484325614958223,317.8329435898389,200.83348969887297,0.5352115366579419,2.292120071606948,84.35839830236627,86.63773488857552,6.0,25.418990158369464,26.56816652426823,67.88674431170413,6.767500969977183,1.269438397445287,0.5845478981267833,78.65023880949637,69.94475070542178,1.0,26.351277823209887,29.16895493071477,36.03144081442152,36.03144081442152,2.066874258191705,1.076352236809967,73.96359509896637,69.17782864359239,2.0
Nova Descoberta,-8.00742,-34.946552,15.0,27.42089264773059,26.10435476573524,70.28629926571438,295.6964946804444,0.0,0.0,87.18026477643413,93.0790313514247,16.0,26.25118638527961,26.361553836466346,120.5708361704342,318.87616765959024,0.0,0.0,95.47845740647104,95.91905932240346,21.0,26.361859279994,26.34583729956473,348.79871859083244,219.8072946422702,0.0,0.0,95.95613056174092,95.55913817162238,30.0,24.544478450870745,23.11662220125849,319.1660593625649,180.3675105624183,1.3736957581415636,3.702375614771952,83.80432680229508,81.83865888594069,19.0,24.626219070242406,26.817326685135228,57.48757588914367,7.690869896799967,1.049103382974733,3.042104551205912,86.81131554147925,73.7984450412693,38.0,25.616103851913756,27.31159972239201,37.5540316669148,37.5540316669148,3.994659983391235,4.111894074794664,71.77140950397228,77.95432121135684,30.0
Brejo de Beberibe,-7.997984,-34.92916,3.0,27.261378980992127,26.832870490194587,82.41570102891542,255.43061649973097,0.0,0.0,88.74522421398702,90.86174424062943,16.0,26.201094602330528,26.34003615235198,95.75729154614112,289.02483947958086,0.0,0.0,96.04796759218732,95.97687763146055,10.0,26.37795842543901,26.374672264745552,301.4166928284188,196.66889522797544,0.0,0.0,95.94164539265688,96.32150921498118,20.0,23.33862474182258,24.91375788219364,316.73848385427726,168.82919752293583,0.5942235978687914,2.724195259089551,86.14279852553162,84.33538835439295,8.0,24.99134806212545,23.909767438358838,58.20668512838083,9.162025789798026,4.594912519107458,3.44317658862507,79.17109315334424,78.48960817459017,5.0,28.292778437223177,26.936223514775783,44.5355711716233,44.5355711716233,2.047377101562093,2.0950479122198016,65.66127251488241,69.80526889525834,9.0
Guabiraba,-7.966062,-34.991543,2.0,26.260145683952757,26.361035839858296,69.73091850283353,247.28984792332528,0.0,0.0,87.54096046900528,92.13449247485076,13.0,26.2466888017264,26.37508642570912,130.470683038828,271.5871540662983,0.0,0.0,96.47180753595325,96.08532832738577,21.0,26.363650926037693,26.33566076314656,313.2285677394485,252.44471474003703,0.0,0.0,96.43111898405652,95.49480557518758,17.0,24.85301818437572,24.08412215843863,295.1490742388908,217.29995758430255,0.2174874326056282,1.7268000131517467,90.50326696783016,79.92300505317098,1.0,26.040126643431112,25.758031671126307,62.6348025817866,6.513202031504034,1.197921672490022,0.1207696896858572,80.26661339738449,69.80681399003956,2.0,26.59924377665588,27.1359838681642,36.69193696176431,36.69193696176431,3.233746362744768,0.2425993066152145,68.48227933677953,74.07702340987112,2.0
Brejo de Guabiraba,-7.992662,-34.937281,2.0,26.19175153335391,25.843654451318415,65.12647498872771,245.11544620403748,0.0,0.0,81.52316290915913,90.40181685280596,13.0,26.175288117841937,26.39261247205824,119.02344715148053,274.30674131703006,0.0,0.0,95.81257342171412,95.55790335588284,21.0,26.36395209611671,26.34515421267316,269.71754436357094,230.27288896432523,0.0,0.0,96.06372226375974,95.89401885713214,17.0,24.262542746582,24.94238721488578,292.264963110626,171.38292982196035,1.0595716746589816,1.148700265285281,91.27992986903573,84.03713650880292,5.0,24.07070679227302,25.868126953807764,60.92990447584894,9.655102467036045,0.6355485287724358,2.596392274608597,77.66283731028247,74.8132572873829,5.0,25.795135190698,26.57610900740996,34.674325334742186,34.674325334742186,1.5005136276705435,1.41049335206246,65.55300970539226,74.16061097780056,8.0
Passarinho,-7.978262,-34.93667,2.0,26.912886514900435,26.764505692050875,72.75461345363723,277.6396110372843,0.0,0.0,86.87087263077586,91.12022344885712,13.0,26.252569662462943,26.35004789376927,108.85898211193158,282.6305496221521,0.0,0.0,95.29574310337826,96.22160125336453,21.0,26.36437306199572,26.36667594595336,316.8163019253983,259.37641185782456,0.0,0.0,96.27819525225848,96.28704620309804,17.0,22.543559998217397,22.561032534246245,279.60785475594764,221.8396972781683,2.6253150207643072,2.15052571114508,89.93500310132038,83.16257659912809,4.0,26.203705318050467,25.787277486948295,60.30043120874932,6.871704467852182,3.831272404705153,4.656310124595235,79.31867579650105,72.3096302485059,4.0,26.321348639632067,28.49229860479189,40.71212992993377,40.71212992993377,3.799612652262375,4.019154625289859,69.99876795987372,70.63959866154276,8.0
Mangabeira,-8.023803,-34.905036,16.0,26.89847829069529,26.47700163684022,69.79983497455605,255.6558428032786,0.0,0.0,88.15700652485269,89.61638499598982,18.0,26.245003872203643,26.358558274009276,140.0813763700251,261.323102838242,0.0,0.0,95.94483509505318,96.19735081293176,1.0,26.365719860206777,26.373680665974813,279.600124773236,174.21559657872945,0.0,0.0,96.00135307100402,95.9716240144558,6.0,24.29546404625458,23.951966796177285,266.7306235087824,213.15425461196037,1.988766538164058,2.511148759444741,87.66522664529204,81.66538262264906,8.0,26.324296449160254,25.553207199976956,62.31117746743909,2.7431999313988054,1.5522388786949328,0.3717954909097312,79.92749371688866,75.42691101338897,7.0,26.644357769027263,30.09556626372625,44.10499699380932,44.10499699380932,0.9939035722719404,3.2963417706623703,71.61634573505904,76.4941160571296,9.0
Várzea Baixo,-8.023801,-34.937867,15.0,26.46197158889308,26.36707735963114,66.46187827509456,273.0688512834604,0.0,0.0,88.11969858199157,89.4798677741749,37.0,26.199607774292712,26.349196278974848,117.91026435076284,308.7563060235412,0.0,0.0,95.87435317961707,96.21518778745263,19.0,26.352669339273177,26.334094811939394,346.33024203064224,182.98621095371584,0.0,0.0,96.15088417117752,95.8642779003092,22.0,24.914104675729284,24.5035471343515,305.6897915412463,174.57120166663424,0.8523901921278119,1.4463093099695803,85.06876287554165,87.20187739840817,10.0,25.83093560776256,26.586922560080787,63.15380946743961,6.623085831285638,1.9937050079530196,2.8580135491665226,79.71412447816606,66.91372186398223,7.0,27.45276417057075,28.221196209934757,37.83752151657866,37.83752151657866,2.253540745286005,0.1784938574052255,69.3592780557603,69.78204378889014,2.0
